"","Group","Individual","DOB","Sex.x","TestDate","binary","AgeAtTesting","AgeClasstest","context","Task","Total","Correct","Number experiment","Time start","Time end","Stop for external facotrs","...7","interrupted","duration","duration.z","GroupSize","Groupsize.z","month","season"
"24","Boeta","Jokie",2004-11-01,"F",2019-06-15,1,14.627397260274,"Adult","Sanctuary","2",36,2,22,1899-12-31 15:19:49,1899-12-31 15:50:44,"No",NA,"No",30.9166666666667,-0.587695366993091,3,-1.67151958478661,6,"winter"
"25","Boeta","Boeta",2003-12-01,"M",2019-06-17,1,15.5534246575342,"Adult","Sanctuary","2",3,1,25,1899-12-31 15:14:04,1899-12-31 15:36:30,"No",NA,"No",22.4333333333333,-0.869293767639203,3,-1.67151958478661,6,"winter"
"26","Boeta","Fielis",2004-12-01,"M",2019-06-17,1,14.5506849315068,"Adult","Sanctuary","2",30,6,25,1899-12-31 15:14:04,1899-12-31 15:36:30,"No",NA,"No",22.4333333333333,-0.869293767639203,3,-1.67151958478661,6,"winter"
"27","Boeta","Jokie",2004-11-01,"F",2019-06-17,1,14.6328767123288,"Adult","Sanctuary","2",26,1,25,1899-12-31 15:14:04,1899-12-31 15:36:30,"No",NA,"No",22.4333333333333,-0.869293767639203,3,-1.67151958478661,6,"winter"
"28","Boeta","Boeta",2003-12-01,"M",2019-06-19,0,15.558904109589,"Adult","Sanctuary",NA,0,NA,28,1899-12-31 07:44:14,1899-12-31 08:13:28,"No",NA,"No",29.2333333333333,-0.643572456315797,3,-1.67151958478661,6,"winter"
"29","Boeta","Fielis",2004-12-01,"M",2019-06-19,1,14.5561643835616,"Adult","Sanctuary","2",30,9,28,1899-12-31 07:44:14,1899-12-31 08:13:28,"No",NA,"No",29.2333333333333,-0.643572456315797,3,-1.67151958478661,6,"winter"
"30","Boeta","Jokie",2004-11-01,"F",2019-06-19,1,14.6383561643836,"Adult","Sanctuary","2",31,4,28,1899-12-31 07:44:14,1899-12-31 08:13:28,"No",NA,"No",29.2333333333333,-0.643572456315797,3,-1.67151958478661,6,"winter"
"31","Boeta","Boeta",2003-12-01,"M",2019-06-20,1,15.5616438356164,"Adult","Sanctuary","2",30,24,31,1899-12-31 15:11:25,1899-12-31 15:47:57,"No",NA,"No",36.5333333333333,-0.401253989748022,3,-1.67151958478661,6,"winter"
"32","Boeta","Fielis",2004-12-01,"M",2019-06-20,1,14.558904109589,"Adult","Sanctuary","2",36,11,31,1899-12-31 15:11:25,1899-12-31 15:47:57,"No",NA,"No",36.5333333333333,-0.401253989748022,3,-1.67151958478661,6,"winter"
"33","Boeta","Jokie",2004-11-01,"F",2019-06-20,1,14.641095890411,"Adult","Sanctuary","2",32,3,31,1899-12-31 15:11:25,1899-12-31 15:47:57,"No",NA,"No",36.5333333333333,-0.401253989748022,3,-1.67151958478661,6,"winter"
"34","Boeta","Boeta",2003-12-01,"M",2019-06-21,0,15.5643835616438,"Adult","Sanctuary",NA,0,NA,34,1899-12-31 16:16:48,1899-12-31 16:27:50,"Yes","Boeta did not come","Yes",11.0333333333333,-1.24770890721079,3,-1.67151958478661,6,"winter"
"35","Boeta","Fielis",2004-12-01,"M",2019-06-21,1,14.5616438356164,"Adult","Sanctuary","2",30,12,34,1899-12-31 16:16:48,1899-12-31 16:27:50,"Yes","Boeta did not come","Yes",11.0333333333333,-1.24770890721079,3,-1.67151958478661,6,"winter"
"36","Boeta","Jokie",2004-11-01,"F",2019-06-21,1,14.6438356164384,"Adult","Sanctuary","2",26,3,34,1899-12-31 16:16:48,1899-12-31 16:27:50,"Yes","Boeta did not come","Yes",11.0333333333333,-1.24770890721079,3,-1.67151958478661,6,"winter"
"37","Boeta","Boeta",2003-12-01,"M",2019-06-27,1,15.5808219178082,"Adult","Sanctuary","pass",11,10,38,1899-12-31 13:45:17,1899-12-31 14:37:15,"No",NA,"No",51.9666666666667,0.111044868794806,3,-1.67151958478661,6,"winter"
"38","Boeta","Fielis",2004-12-01,"M",2019-06-27,1,14.5780821917808,"Adult","Sanctuary","2",30,15,38,1899-12-31 13:45:17,1899-12-31 14:37:15,"No",NA,"No",51.9666666666667,0.111044868794806,3,-1.67151958478661,6,"winter"
"39","Boeta","Jokie",2004-11-01,"F",2019-06-27,1,14.6602739726027,"Adult","Sanctuary","2",14,0,38,1899-12-31 13:45:17,1899-12-31 14:37:15,"No",NA,"No",51.9666666666667,0.111044868794806,3,-1.67151958478661,6,"winter"
"40","Boeta","Boeta",2003-12-01,"M",2019-06-29,1,15.586301369863,"Adult","Sanctuary","pass",30,25,42,1899-12-31 15:21:14,1899-12-31 15:51:03,"No",NA,"No",29.8166666666667,-0.6242091085307,3,-1.67151958478661,6,"winter"
"41","Boeta","Fielis",2004-12-01,"M",2019-06-29,1,14.5835616438356,"Adult","Sanctuary","2",31,12,42,1899-12-31 15:21:14,1899-12-31 15:51:03,"No",NA,"No",29.8166666666667,-0.6242091085307,3,-1.67151958478661,6,"winter"
"42","Boeta","Jokie",2004-11-01,"F",2019-06-29,1,14.6657534246575,"Adult","Sanctuary","2",27,2,42,1899-12-31 15:21:14,1899-12-31 15:51:03,"No",NA,"No",29.8166666666667,-0.6242091085307,3,-1.67151958478661,6,"winter"
"43","Boeta","Boeta",2003-12-01,"M",2019-07-04,1,15.6,"Adult","Sanctuary","pass",19,17,45,1899-12-31 15:18:46,1899-12-31 15:47:35,"No",NA,"No",28.8166666666667,-0.657403419019437,3,-1.67151958478661,7,"winter"
"44","Boeta","Fielis",2004-12-01,"M",2019-07-04,1,14.5972602739726,"Adult","Sanctuary","2",32,16,45,1899-12-31 15:18:46,1899-12-31 15:47:35,"No",NA,"No",28.8166666666667,-0.657403419019437,3,-1.67151958478661,7,"winter"
"45","Boeta","Jokie",2004-11-01,"F",2019-07-04,1,14.6794520547945,"Adult","Sanctuary","2",24,3,45,1899-12-31 15:18:46,1899-12-31 15:47:35,"No",NA,"No",28.8166666666667,-0.657403419019437,3,-1.67151958478661,7,"winter"
"46","Boeta","Boeta",2003-12-01,"M",2019-07-05,1,15.6027397260274,"Adult","Sanctuary","pass",30,30,46,1899-12-31 14:33:43,1899-12-31 15:07:46,"No",NA,"No",34.05,-0.483686527461717,3,-1.67151958478661,7,"winter"
"47","Boeta","Fielis",2004-12-01,"M",2019-07-05,1,14.6,"Adult","Sanctuary","2",31,14,46,1899-12-31 14:33:43,1899-12-31 15:07:46,"No",NA,"No",34.05,-0.483686527461717,3,-1.67151958478661,7,"winter"
"48","Boeta","Jokie",2004-11-01,"F",2019-07-05,1,14.6821917808219,"Adult","Sanctuary","2",2,0,46,1899-12-31 14:33:43,1899-12-31 15:07:46,"No",NA,"No",34.05,-0.483686527461717,3,-1.67151958478661,7,"winter"
"49","Boeta","Boeta",2003-12-01,"M",2019-07-08,1,15.6109589041096,"Adult","Sanctuary","3",30,18,49,1899-12-31 15:06:25,1899-12-31 15:32:36,"No",NA,"No",26.1833333333333,-0.744815103306442,3,-1.67151958478661,7,"winter"
"50","Boeta","Fielis",2004-12-01,"M",2019-07-08,1,14.6082191780822,"Adult","Sanctuary","2",31,17,49,1899-12-31 15:06:25,1899-12-31 15:32:36,"No",NA,"No",26.1833333333333,-0.744815103306442,3,-1.67151958478661,7,"winter"
"51","Boeta","Jokie",2004-11-01,"F",2019-07-08,1,14.6904109589041,"Adult","Sanctuary","2",31,12,49,1899-12-31 15:06:25,1899-12-31 15:32:36,"No",NA,"No",26.1833333333333,-0.744815103306442,3,-1.67151958478661,7,"winter"
"52","Boeta","Boeta",2003-12-01,"M",2019-07-09,1,15.613698630137,"Adult","Sanctuary","3",30,17,52,1899-12-31 14:48:57,1899-12-31 15:16:35,"No",NA,"No",27.6333333333333,-0.696683353097774,3,-1.67151958478661,7,"winter"
"53","Boeta","Fielis",2004-12-01,"M",2019-07-09,1,14.6109589041096,"Adult","Sanctuary","2",30,20,52,1899-12-31 14:48:57,1899-12-31 15:16:35,"No",NA,"No",27.6333333333333,-0.696683353097774,3,-1.67151958478661,7,"winter"
"54","Boeta","Jokie",2004-11-01,"F",2019-07-09,1,14.6931506849315,"Adult","Sanctuary","2",29,18,52,1899-12-31 14:48:57,1899-12-31 15:16:35,"No",NA,"No",27.6333333333333,-0.696683353097774,3,-1.67151958478661,7,"winter"
"55","Boeta","Boeta",2003-12-01,"M",2019-07-10,1,15.6164383561644,"Adult","Sanctuary","3",30,24,55,1899-12-31 15:17:02,1899-12-31 15:44:21,"No",NA,"No",27.3166666666667,-0.707194884752541,3,-1.67151958478661,7,"winter"
"56","Boeta","Fielis",2004-12-01,"M",2019-07-10,1,14.613698630137,"Adult","Sanctuary","pass",30,16,55,1899-12-31 15:17:02,1899-12-31 15:44:21,"No",NA,"No",27.3166666666667,-0.707194884752541,3,-1.67151958478661,7,"winter"
"57","Boeta","Jokie",2004-11-01,"F",2019-07-10,1,14.6958904109589,"Adult","Sanctuary","2",31,22,55,1899-12-31 15:17:02,1899-12-31 15:44:21,"No",NA,"No",27.3166666666667,-0.707194884752541,3,-1.67151958478661,7,"winter"
"58","Boeta","Boeta",2003-12-01,"M",2019-07-20,1,15.6438356164384,"Adult","Sanctuary","OC",12,5,59,1899-12-31 15:08:36,1899-12-31 15:38:07,"No",NA,"No",29.5166666666667,-0.634167401677321,3,-1.67151958478661,7,"winter"
"59","Boeta","Fielis",2004-12-01,"M",2019-07-20,1,14.641095890411,"Adult","Sanctuary","pass",31,14,59,1899-12-31 15:08:36,1899-12-31 15:38:07,"No",NA,"No",29.5166666666667,-0.634167401677321,3,-1.67151958478661,7,"winter"
"60","Boeta","Jokie",2004-11-01,"F",2019-07-20,1,14.7232876712329,"Adult","Sanctuary","pass",30,15,59,1899-12-31 15:08:36,1899-12-31 15:38:07,"No",NA,"No",29.5166666666667,-0.634167401677321,3,-1.67151958478661,7,"winter"
"61","Boeta","Boeta",2003-12-01,"M",2019-07-24,0,15.6547945205479,"Adult","Sanctuary",NA,0,NA,62,1899-12-31 13:56:16,1899-12-31 14:26:52,"No",NA,"No",30.6,-0.598206898647857,3,-1.67151958478661,7,"winter"
"62","Boeta","Fielis",2004-12-01,"M",2019-07-24,1,14.6520547945205,"Adult","Sanctuary","pass",30,19,62,1899-12-31 13:56:16,1899-12-31 14:26:52,"No",NA,"No",30.6,-0.598206898647857,3,-1.67151958478661,7,"winter"
"63","Boeta","Jokie",2004-11-01,"F",2019-07-24,1,14.7342465753425,"Adult","Sanctuary","pass",32,22,62,1899-12-31 13:56:16,1899-12-31 14:26:52,"No",NA,"No",30.6,-0.598206898647857,3,-1.67151958478661,7,"winter"
"64","Boeta","Boeta",2003-12-01,"M",2019-07-26,1,15.6602739726027,"Adult","Sanctuary","OC",1,0,65,1899-12-31 14:26:52,1899-12-31 14:56:50,"No",NA,"No",29.9666666666667,-0.61922996195739,3,-1.67151958478661,7,"winter"
"65","Boeta","Fielis",2004-12-01,"M",2019-07-26,1,14.6575342465753,"Adult","Sanctuary","pass",30,19,65,1899-12-31 14:26:52,1899-12-31 14:56:50,"No",NA,"No",29.9666666666667,-0.61922996195739,3,-1.67151958478661,7,"winter"
"66","Boeta","Jokie",2004-11-01,"F",2019-07-26,1,14.7397260273973,"Adult","Sanctuary","pass",30,27,65,1899-12-31 14:26:52,1899-12-31 14:56:50,"No",NA,"No",29.9666666666667,-0.61922996195739,3,-1.67151958478661,7,"winter"
"67","Boeta","Boeta",2003-12-01,"M",2019-08-01,1,15.6767123287671,"Adult","Sanctuary","OC",23,14,67,1899-12-31 15:54:02,1899-12-31 16:25:54,"No",NA,"No",31.8666666666667,-0.556160772028791,3,-1.67151958478661,8,"winter"
"68","Boeta","Fielis",2004-12-01,"M",2019-08-01,1,14.6739726027397,"Adult","Sanctuary","pass",31,20,67,1899-12-31 15:54:02,1899-12-31 16:25:54,"No",NA,"No",31.8666666666667,-0.556160772028791,3,-1.67151958478661,8,"winter"
"69","Boeta","Jokie",2004-11-01,"F",2019-08-01,1,14.7561643835616,"Adult","Sanctuary","pass",30,21,67,1899-12-31 15:54:02,1899-12-31 16:25:54,"No",NA,"No",31.8666666666667,-0.556160772028791,3,-1.67151958478661,8,"winter"
"70","Boeta","Boeta",2003-12-01,"M",2019-08-02,1,15.6794520547945,"Adult","Sanctuary","OC",10,6,71,1899-12-31 15:37:29,1899-12-31 16:05:50,"No",NA,"No",28.35,-0.672894097247513,3,-1.67151958478661,8,"winter"
"71","Boeta","Fielis",2004-12-01,"M",2019-08-02,1,14.6767123287671,"Adult","Sanctuary","pass",30,23,71,1899-12-31 15:37:29,1899-12-31 16:05:50,"No",NA,"No",28.35,-0.672894097247513,3,-1.67151958478661,8,"winter"
"72","Boeta","Jokie",2004-11-01,"F",2019-08-02,1,14.758904109589,"Adult","Sanctuary","pass",34,23,71,1899-12-31 15:37:29,1899-12-31 16:05:50,"No",NA,"No",28.35,-0.672894097247513,3,-1.67151958478661,8,"winter"
"73","Boeta","Boeta",2003-12-01,"M",2019-08-03,1,15.6821917808219,"Adult","Sanctuary","OC",1,0,75,1899-12-31 07:42:54,1899-12-31 08:02:48,"No",NA,"No",19.9,-0.953386020877334,3,-1.67151958478661,8,"winter"
"74","Boeta","Fielis",2004-12-01,"M",2019-08-03,1,14.6794520547945,"Adult","Sanctuary","pass",30,24,75,1899-12-31 07:42:54,1899-12-31 08:02:48,"No",NA,"No",19.9,-0.953386020877334,3,-1.67151958478661,8,"winter"
"75","Boeta","Jokie",2004-11-01,"F",2019-08-03,1,14.7616438356164,"Adult","Sanctuary","pass",27,15,75,1899-12-31 07:42:54,1899-12-31 08:02:48,"No",NA,"No",19.9,-0.953386020877334,3,-1.67151958478661,8,"winter"
"76","Boeta","Boeta",2003-12-01,"M",2019-08-08,1,15.6958904109589,"Adult","Sanctuary","OC",2,1,78,1899-12-31 15:27:02,1899-12-31 15:48:26,"No",NA,"No",21.4,-0.90359455514423,3,-1.67151958478661,8,"winter"
"77","Boeta","Fielis",2004-12-01,"M",2019-08-08,1,14.6931506849315,"Adult","Sanctuary","3",30,13,78,1899-12-31 15:27:02,1899-12-31 15:48:26,"No",NA,"No",21.4,-0.90359455514423,3,-1.67151958478661,8,"winter"
"78","Boeta","Jokie",2004-11-01,"F",2019-08-08,1,14.7753424657534,"Adult","Sanctuary","pass",30,22,78,1899-12-31 15:27:02,1899-12-31 15:48:26,"No",NA,"No",21.4,-0.90359455514423,3,-1.67151958478661,8,"winter"
"79","Boeta","Boeta",2003-12-01,"M",2019-08-10,1,15.7013698630137,"Adult","Sanctuary","OC",8,4,80,1899-12-31 15:30:55,1899-12-31 15:58:10,"No",NA,"No",27.25,-0.709407838785123,3,-1.67151958478661,8,"winter"
"80","Boeta","Fielis",2004-12-01,"M",2019-08-10,1,14.6986301369863,"Adult","Sanctuary","3",30,17,80,1899-12-31 15:30:55,1899-12-31 15:58:10,"No",NA,"No",27.25,-0.709407838785123,3,-1.67151958478661,8,"winter"
"81","Boeta","Jokie",2004-11-01,"F",2019-08-10,1,14.7808219178082,"Adult","Sanctuary","pass",30,24,80,1899-12-31 15:30:55,1899-12-31 15:58:10,"No",NA,"No",27.25,-0.709407838785123,3,-1.67151958478661,8,"winter"
"82","Boeta","Boeta",2003-12-01,"M",2019-08-14,1,15.7123287671233,"Adult","Sanctuary","OC",14,5,83,1899-12-31 14:47:27,1899-12-31 15:13:10,"No",NA,"No",25.7166666666667,-0.760305781534519,3,-1.67151958478661,8,"winter"
"83","Boeta","Fielis",2004-12-01,"M",2019-08-14,1,14.7095890410959,"Adult","Sanctuary","3",30,16,83,1899-12-31 14:47:27,1899-12-31 15:13:10,"No",NA,"No",25.7166666666667,-0.760305781534519,3,-1.67151958478661,8,"winter"
"84","Boeta","Jokie",2004-11-01,"F",2019-08-14,1,14.7917808219178,"Adult","Sanctuary","3",25,13,83,1899-12-31 14:47:27,1899-12-31 15:13:10,"No",NA,"No",25.7166666666667,-0.760305781534519,3,-1.67151958478661,8,"winter"
"85","Boeta","Boeta",2003-12-01,"M",2019-08-16,1,15.7178082191781,"Adult","Sanctuary","OC",4,2,87,1899-12-31 15:15:54,1899-12-31 15:45:20,"No",NA,"No",29.4333333333333,-0.636933594218049,3,-1.67151958478661,8,"winter"
"86","Boeta","Fielis",2004-12-01,"M",2019-08-16,1,14.7150684931507,"Adult","Sanctuary","3",30,19,87,1899-12-31 15:15:54,1899-12-31 15:45:20,"No",NA,"No",29.4333333333333,-0.636933594218049,3,-1.67151958478661,8,"winter"
"87","Boeta","Jokie",2004-11-01,"F",2019-08-16,1,14.7972602739726,"Adult","Sanctuary","3",30,21,87,1899-12-31 15:15:54,1899-12-31 15:45:20,"No",NA,"No",29.4333333333333,-0.636933594218049,3,-1.67151958478661,8,"winter"
"88","Boeta","Boeta",2003-12-01,"M",2019-08-21,1,15.7315068493151,"Adult","Sanctuary","OC",17,5,89,1899-12-31 14:58:37,1899-12-31 15:38:33,"No",NA,"No",39.9333333333333,-0.28839333408632,3,-1.67151958478661,8,"winter"
"89","Boeta","Fielis",2004-12-01,"M",2019-08-21,0,14.7287671232877,"Adult","Sanctuary",NA,0,NA,89,1899-12-31 14:58:37,1899-12-31 15:38:33,"No",NA,"No",39.9333333333333,-0.28839333408632,3,-1.67151958478661,8,"winter"
"90","Boeta","Jokie",2004-11-01,"F",2019-08-21,1,14.8109589041096,"Adult","Sanctuary","3",28,18,89,1899-12-31 14:58:37,1899-12-31 15:38:33,"No",NA,"No",39.9333333333333,-0.28839333408632,3,-1.67151958478661,8,"winter"
"91","Boeta","Boeta",2003-12-01,"M",2019-08-22,1,15.7342465753425,"Adult","Sanctuary","OC",10,6,93,1899-12-31 16:17:36,1899-12-31 16:39:50,"No",NA,"No",22.2333333333333,-0.87593262973695,3,-1.67151958478661,8,"winter"
"92","Boeta","Fielis",2004-12-01,"M",2019-08-22,1,14.7315068493151,"Adult","Sanctuary","3",30,9,93,1899-12-31 16:17:36,1899-12-31 16:39:50,"No",NA,"No",22.2333333333333,-0.87593262973695,3,-1.67151958478661,8,"winter"
"93","Boeta","Jokie",2004-11-01,"F",2019-08-22,1,14.813698630137,"Adult","Sanctuary","3",31,21,93,1899-12-31 16:17:36,1899-12-31 16:39:50,"No",NA,"No",22.2333333333333,-0.87593262973695,3,-1.67151958478661,8,"winter"
"94","Boeta","Boeta",2003-12-01,"M",2019-08-26,1,15.7452054794521,"Adult","Sanctuary","OC",21,9,96,1899-12-31 14:41:51,1899-12-31 15:16:25,"No",NA,"No",34.5666666666667,-0.466536133709203,3,-1.67151958478661,8,"winter"
"95","Boeta","Fielis",2004-12-01,"M",2019-08-26,1,14.7424657534247,"Adult","Sanctuary","3",30,17,96,1899-12-31 14:41:51,1899-12-31 15:16:25,"No",NA,"No",34.5666666666667,-0.466536133709203,3,-1.67151958478661,8,"winter"
"96","Boeta","Fielis",2004-12-01,"M",2019-08-26,1,14.7424657534247,"Adult","Sanctuary","3",4,2,96,1899-12-31 14:41:51,1899-12-31 15:16:25,"No",NA,"No",34.5666666666667,-0.466536133709203,3,-1.67151958478661,8,"winter"
"97","Boeta","Jokie",2004-11-01,"F",2019-08-26,1,14.8246575342466,"Adult","Sanctuary","pass",26,16,96,1899-12-31 14:41:51,1899-12-31 15:16:25,"No",NA,"No",34.5666666666667,-0.466536133709203,3,-1.67151958478661,8,"winter"
"98","Boeta","Boeta",2003-12-01,"M",2019-08-27,0,15.7479452054795,"Adult","Sanctuary",NA,0,NA,98,1899-12-31 13:43:51,1899-12-31 14:07:26,"No",NA,"No",23.5833333333333,-0.831120310577156,3,-1.67151958478661,8,"winter"
"99","Boeta","Fielis",2004-12-01,"M",2019-08-27,1,14.7452054794521,"Adult","Sanctuary","3",30,19,98,1899-12-31 13:43:51,1899-12-31 14:07:26,"No",NA,"No",23.5833333333333,-0.831120310577156,3,-1.67151958478661,8,"winter"
"100","Boeta","Jokie",2004-11-01,"F",2019-08-27,1,14.827397260274,"Adult","Sanctuary","pass",31,22,98,1899-12-31 13:43:51,1899-12-31 14:07:26,"No",NA,"No",23.5833333333333,-0.831120310577156,3,-1.67151958478661,8,"winter"
"101","Boeta","Boeta",2003-12-01,"M",2019-08-30,1,15.7561643835616,"Adult","Sanctuary","OC",3,1,102,1899-12-31 16:24:21,1899-12-31 16:52:02,"No",NA,"No",27.6833333333333,-0.695023637573338,3,-1.67151958478661,8,"winter"
"102","Boeta","Fielis",2004-12-01,"M",2019-08-30,1,14.7534246575342,"Adult","Sanctuary","pass",30,21,102,1899-12-31 16:24:21,1899-12-31 16:52:02,"No",NA,"No",27.6833333333333,-0.695023637573338,3,-1.67151958478661,8,"winter"
"103","Boeta","Jokie",2004-11-01,"F",2019-08-30,1,14.8356164383562,"Adult","Sanctuary","pass",30,26,102,1899-12-31 16:24:21,1899-12-31 16:52:02,"No",NA,"No",27.6833333333333,-0.695023637573338,3,-1.67151958478661,8,"winter"
"104","Boeta","Boeta",2003-12-01,"M",2019-09-04,1,15.7698630136986,"Adult","Sanctuary","OC",18,9,106,1899-12-31 15:09:43,1899-12-31 15:33:21,"No",NA,"No",23.6333333333333,-0.829460595052719,3,-1.67151958478661,9,"winter"
"105","Boeta","Fielis",2004-12-01,"M",2019-09-04,1,14.7671232876712,"Adult","Sanctuary","pass",30,26,106,1899-12-31 15:09:43,1899-12-31 15:33:21,"No",NA,"No",23.6333333333333,-0.829460595052719,3,-1.67151958478661,9,"winter"
